,Respondent_ID,Gender,Age,Typical_consumption_situations,Current_brands
58,120089,Male,15-18,Sports/exercise,Bepsi
59,120090,Male,19-30,Studying/working late,Cola-Coka
60,120091,Female,31-45,Sports/exercise,Blue Bull
61,120092,Male,19-30,Sports/exercise,Bepsi
62,120093,Female,31-45,Sports/exercise,Bepsi
63,120094,Non-binary,31-45,Sports/exercise,Blue Bull
64,120095,Male,19-30,Social outings/parties,Cola-Coka
65,120096,Male,19-30,Sports/exercise,Cola-Coka
66,120097,Female,15-18,Sports/exercise,Gangster
67,120098,Male,19-30,Studying/working late,Blue Bull
68,120099,Non-binary,15-18,Studying/working late,Blue Bull
69,120100,Male,19-30,Sports/exercise,Gangster
70,120101,Male,31-45,Sports/exercise,CodeX
71,120102,Male,19-30,Studying/working late,Blue Bull
72,120103,Female,19-30,Social outings/parties,Gangster
73,120104,Male,19-30,Sports/exercise,Blue Bull
74,120105,Male,19-30,Studying/working late,Cola-Coka
75,120106,Female,31-45,Sports/exercise,CodeX
76,120107,Male,19-30,Studying/working late,Cola-Coka
77,120108,Male,19-30,Studying/working late,Sky 9
78,120109,Male,19-30,Sports/exercise,Blue Bull
79,120110,Female,65+,Studying/working late,Sky 9
80,120111,Female,31-45,Driving/commuting,Gangster
81,120112,Male,15-18,Studying/working late,Others
82,120113,Male,19-30,Sports/exercise,Bepsi
83,120114,Male,19-30,Sports/exercise,Gangster
84,120115,Male,31-45,Social outings/parties,Bepsi
85,120116,Male,15-18,Social outings/parties,Bepsi
86,120117,Male,31-45,Sports/exercise,CodeX
87,120118,Male,19-30,Sports/exercise,Cola-Coka
88,120119,Male,15-18,Sports/exercise,Blue Bull
89,120120,Female,19-30,Social outings/parties,Others
90,120121,Female,19-30,Sports/exercise,CodeX
91,120122,Female,19-30,Sports/exercise,Blue Bull
92,120123,Male,19-30,Sports/exercise,Gangster
93,120124,Male,19-30,Sports/exercise,Blue Bull
94,120125,Male,31-45,Sports/exercise,CodeX
95,120126,Male,19-30,Sports/exercise,Blue Bull
96,120127,Male,19-30,Sports/exercise,Cola-Coka
97,120128,Male,31-45,Sports/exercise,Cola-Coka
98,120129,Male,31-45,Sports/exercise,Blue Bull
99,120130,Female,19-30,Sports/exercise,Bepsi
100,120131,Male,19-30,Studying/working late,Cola-Coka
101,120132,Female,19-30,Sports/exercise,Bepsi
102,120133,Male,19-30,Studying/working late,Blue Bull
103,120134,Male,46-65,Sports/exercise,Gangster
104,120135,Male,19-30,Studying/working late,Cola-Coka
105,120136,Male,15-18,Studying/working late,Cola-Coka
106,120137,Female,19-30,Social outings/parties,Blue Bull
107,120138,Male,46-65,Social outings/parties,Cola-Coka
108,120139,Female,31-45,Studying/working late,Cola-Coka
109,120140,Non-binary,46-65,Sports/exercise,Cola-Coka
110,120141,Male,19-30,Sports/exercise,CodeX
111,120142,Male,19-30,Sports/exercise,Gangster
112,120143,Male,31-45,Sports/exercise,Cola-Coka
113,120144,Female,19-30,Sports/exercise,Gangster
114,120145,Male,19-30,Sports/exercise,Blue Bull
115,120146,Male,31-45,Sports/exercise,Cola-Coka
116,120147,Male,15-18,Studying/working late,Blue Bull
117,120148,Female,15-18,Social outings/parties,Cola-Coka
118,120149,Male,19-30,Studying/working late,Cola-Coka
119,120150,Female,15-18,Sports/exercise,Others
120,120151,Male,15-18,Social outings/parties,Sky 9
121,120152,Male,31-45,Sports/exercise,Cola-Coka
122,120153,Male,31-45,Social outings/parties,Bepsi
123,120154,Female,19-30,Studying/working late,Bepsi
124,120155,Male,31-45,Studying/working late,Blue Bull
125,120156,Female,31-45,Sports/exercise,Bepsi
126,120157,Female,31-45,Social outings/parties,Others
127,120158,Male,15-18,Sports/exercise,Sky 9
128,120159,Male,19-30,Social outings/parties,Bepsi
129,120160,Male,19-30,Studying/working late,Gangster
130,120161,Male,19-30,Sports/exercise,Gangster
131,120162,Non-binary,65+,Sports/exercise,Gangster
132,120163,Female,31-45,Sports/exercise,Cola-Coka
133,120164,Female,19-30,Sports/exercise,Blue Bull
134,120165,Male,19-30,Sports/exercise,Gangster
135,120166,Non-binary,15-18,Studying/working late,Cola-Coka
136,120167,Female,31-45,Sports/exercise,Blue Bull
137,120168,Male,19-30,Sports/exercise,Gangster
138,120169,Male,19-30,Sports/exercise,Cola-Coka
139,120170,Female,19-30,Social outings/parties,Others
140,120171,Female,31-45,Social outings/parties,Blue Bull
141,120172,Male,31-45,Sports/exercise,CodeX
142,120173,Male,15-18,Other,CodeX
143,120174,Male,19-30,Studying/working late,CodeX
144,120175,Male,19-30,Sports/exercise,Cola-Coka
145,120176,Male,31-45,Sports/exercise,Cola-Coka
146,120177,Female,19-30,Sports/exercise,Blue Bull
147,120178,Male,46-65,Sports/exercise,CodeX
148,120179,Male,19-30,Studying/working late,Others
149,120180,Female,15-18,Sports/exercise,Cola-Coka
150,120181,Male,31-45,Social outings/parties,Cola-Coka
151,120182,Male,15-18,Sports/exercise,Cola-Coka
152,120183,Male,15-18,Social outings/parties,Cola-Coka
153,120184,Male,19-30,Sports/exercise,CodeX
154,120185,Male,19-30,Sports/exercise,CodeX
155,120186,Male,19-30,Studying/working late,Others
156,120187,Male,15-18,Studying/working late,Gangster
157,120188,Male,46-65,Studying/working late,Bepsi
158,120189,Male,19-30,Other,Gangster
159,120190,Male,31-45,Studying/working late,Blue Bull
160,120191,Female,31-45,Driving/commuting,Blue Bull
161,120192,Male,19-30,Sports/exercise,Bepsi
162,120193,Male,19-30,Other,Bepsi
163,120194,Female,19-30,Sports/exercise,Blue Bull
164,120195,Non-binary,19-30,Sports/exercise,Bepsi
165,120196,Female,19-30,Sports/exercise,Blue Bull
166,120197,Non-binary,19-30,Social outings/parties,Gangster
167,120198,Male,19-30,Sports/exercise,Blue Bull
168,120199,Male,46-65,Other,Sky 9
169,120200,Male,19-30,Sports/exercise,Bepsi
170,120201,Male,19-30,Sports/exercise,Sky 9
171,120202,Female,19-30,Social outings/parties,Cola-Coka
172,120203,Male,19-30,Studying/working late,Bepsi
173,120204,Female,19-30,Sports/exercise,Bepsi
174,120205,Male,19-30,Driving/commuting,CodeX
175,120206,Female,19-30,Sports/exercise,Bepsi
176,120207,Female,19-30,Driving/commuting,Sky 9
177,120208,Male,19-30,Studying/working late,Bepsi
178,120209,Male,15-18,Studying/working late,Gangster
179,120210,Female,19-30,Studying/working late,Bepsi
180,120211,Male,15-18,Sports/exercise,Cola-Coka
181,120212,Male,31-45,Sports/exercise,Cola-Coka
182,120213,Female,31-45,Social outings/parties,Blue Bull
183,120214,Female,19-30,Studying/working late,Cola-Coka
184,120215,Non-binary,19-30,Sports/exercise,Gangster
185,120216,Female,19-30,Studying/working late,Sky 9
186,120217,Female,31-45,Social outings/parties,Cola-Coka
187,120218,Male,46-65,Sports/exercise,Gangster
188,120219,Female,19-30,Sports/exercise,Bepsi
189,120220,Male,19-30,Sports/exercise,Cola-Coka
190,120221,Male,19-30,Sports/exercise,Sky 9
191,120222,Non-binary,15-18,Social outings/parties,Bepsi
192,120223,Female,31-45,Studying/working late,Gangster
193,120224,Male,31-45,Studying/working late,CodeX
194,120225,Non-binary,46-65,Sports/exercise,Bepsi
195,120226,Male,19-30,Sports/exercise,Blue Bull
196,120227,Female,19-30,Social outings/parties,Gangster
197,120228,Male,15-18,Sports/exercise,Gangster
198,120229,Female,19-30,Studying/working late,Cola-Coka
199,120230,Female,19-30,Studying/working late,Bepsi
200,120231,Non-binary,15-18,Social outings/parties,Bepsi
201,120232,Male,19-30,Sports/exercise,Blue Bull
202,120233,Male,31-45,Social outings/parties,Blue Bull
203,120234,Male,19-30,Sports/exercise,Blue Bull
204,120235,Male,19-30,Studying/working late,Bepsi
205,120236,Female,31-45,Sports/exercise,Sky 9
206,120237,Male,31-45,Sports/exercise,Bepsi
207,120238,Non-binary,46-65,Studying/working late,Cola-Coka
208,120239,Female,19-30,Sports/exercise,Gangster
209,120240,Female,19-30,Studying/working late,Bepsi
210,120241,Male,15-18,Studying/working late,Bepsi
211,120242,Female,15-18,Other,Sky 9
212,120243,Male,46-65,Social outings/parties,Gangster
213,120244,Male,19-30,Studying/working late,Sky 9
214,120245,Male,19-30,Social outings/parties,Bepsi
215,120246,Male,31-45,Social outings/parties,Cola-Coka
216,120247,Female,15-18,Sports/exercise,Bepsi
217,120248,Male,15-18,Studying/working late,Sky 9
218,120249,Male,19-30,Sports/exercise,Sky 9
219,120250,Male,31-45,Sports/exercise,Blue Bull
220,120251,Male,31-45,Sports/exercise,Cola-Coka
221,120252,Male,19-30,Sports/exercise,Cola-Coka
222,120253,Male,19-30,Sports/exercise,Gangster
223,120254,Male,19-30,Sports/exercise,Blue Bull
224,120255,Female,15-18,Sports/exercise,Cola-Coka
225,120256,Male,19-30,Sports/exercise,Cola-Coka
226,120257,Female,46-65,Social outings/parties,Gangster
227,120258,Male,19-30,Sports/exercise,Bepsi
228,120259,Male,19-30,Sports/exercise,CodeX
229,120260,Male,31-45,Social outings/parties,CodeX
230,120261,Female,46-65,Sports/exercise,Gangster
231,120262,Male,19-30,Social outings/parties,Cola-Coka
232,120263,Male,31-45,Sports/exercise,Bepsi
233,120264,Male,19-30,Sports/exercise,Cola-Coka
234,120265,Male,19-30,Studying/working late,Gangster
235,120266,Non-binary,19-30,Sports/exercise,Sky 9
236,120267,Female,19-30,Sports/exercise,Bepsi
237,120268,Non-binary,31-45,Social outings/parties,Cola-Coka
238,120269,Male,19-30,Sports/exercise,Gangster
239,120270,Non-binary,19-30,Sports/exercise,Cola-Coka
240,120271,Non-binary,15-18,Sports/exercise,Cola-Coka
241,120272,Female,19-30,Sports/exercise,Gangster
242,120273,Male,19-30,Studying/working late,Cola-Coka
243,120274,Female,31-45,Studying/working late,Cola-Coka
244,120275,Male,15-18,Sports/exercise,Gangster
245,120276,Female,15-18,Other,Sky 9
246,120277,Female,15-18,Driving/commuting,Bepsi
247,120278,Female,19-30,Social outings/parties,Cola-Coka
248,120279,Female,31-45,Studying/working late,Blue Bull
249,120280,Female,19-30,Studying/working late,Cola-Coka
250,120281,Female,15-18,Sports/exercise,Others
251,120282,Female,19-30,Sports/exercise,Blue Bull
252,120283,Female,31-45,Sports/exercise,Sky 9
253,120284,Female,19-30,Sports/exercise,Cola-Coka
254,120285,Male,19-30,Social outings/parties,Bepsi
255,120286,Male,31-45,Studying/working late,Gangster
256,120287,Male,19-30,Studying/working late,Bepsi
257,120288,Male,19-30,Studying/working late,Gangster
258,120289,Male,31-45,Studying/working late,Bepsi
259,120290,Male,31-45,Studying/working late,Bepsi
260,120291,Male,19-30,Sports/exercise,Sky 9
261,120292,Male,31-45,Sports/exercise,Bepsi
262,120293,Male,19-30,Sports/exercise,Gangster
263,120294,Female,31-45,Studying/working late,Blue Bull
264,120295,Female,31-45,Studying/working late,Sky 9
265,120296,Non-binary,19-30,Sports/exercise,Gangster
266,120297,Non-binary,19-30,Studying/working late,Others
267,120298,Female,19-30,Studying/working late,Sky 9
268,120299,Male,19-30,Studying/working late,Cola-Coka
269,120300,Female,31-45,Studying/working late,CodeX
270,120301,Non-binary,15-18,Sports/exercise,Cola-Coka
271,120302,Male,19-30,Sports/exercise,CodeX
272,120303,Male,15-18,Sports/exercise,Cola-Coka
273,120304,Female,15-18,Studying/working late,Bepsi
274,120305,Male,19-30,Social outings/parties,Sky 9
275,120306,Female,31-45,Sports/exercise,Bepsi
276,120307,Male,19-30,Sports/exercise,CodeX
277,120308,Non-binary,19-30,Sports/exercise,Sky 9
278,120309,Male,19-30,Sports/exercise,CodeX
279,120310,Male,15-18,Studying/working late,Gangster
280,120311,Male,19-30,Sports/exercise,Gangster
281,120312,Male,19-30,Social outings/parties,Gangster
282,120313,Male,46-65,Studying/working late,Sky 9
283,120314,Female,19-30,Sports/exercise,Sky 9
284,120315,Male,31-45,Driving/commuting,Bepsi
285,120316,Male,19-30,Studying/working late,Blue Bull
286,120317,Non-binary,19-30,Sports/exercise,Cola-Coka
287,120318,Female,19-30,Studying/working late,Sky 9
288,120319,Male,19-30,Sports/exercise,Blue Bull
289,120320,Male,19-30,Sports/exercise,Gangster
290,120321,Female,31-45,Studying/working late,Cola-Coka
291,120322,Female,31-45,Sports/exercise,Gangster
292,120323,Male,19-30,Studying/working late,Cola-Coka
293,120324,Male,19-30,Sports/exercise,Bepsi
294,120325,Male,19-30,Studying/working late,Bepsi
295,120326,Male,19-30,Sports/exercise,Bepsi
296,120327,Male,19-30,Studying/working late,Cola-Coka
297,120328,Male,19-30,Social outings/parties,Cola-Coka
298,120329,Male,19-30,Social outings/parties,Others
299,120330,Female,31-45,Studying/working late,Bepsi
300,120331,Male,19-30,Sports/exercise,Gangster
301,120332,Female,15-18,Studying/working late,Cola-Coka
302,120333,Female,31-45,Studying/working late,Gangster
303,120334,Female,19-30,Driving/commuting,Cola-Coka
304,120335,Female,19-30,Social outings/parties,Cola-Coka
305,120336,Male,15-18,Driving/commuting,Bepsi
306,120337,Male,15-18,Social outings/parties,Cola-Coka
307,120338,Male,31-45,Other,Others
308,120339,Male,19-30,Studying/working late,Sky 9
309,120340,Female,19-30,Studying/working late,Cola-Coka
310,120341,Male,19-30,Studying/working late,Blue Bull
311,120342,Male,31-45,Studying/working late,Blue Bull
312,120343,Female,19-30,Studying/working late,Bepsi
313,120344,Male,15-18,Sports/exercise,Sky 9
314,120345,Female,19-30,Sports/exercise,Others
315,120346,Male,19-30,Sports/exercise,Cola-Coka
316,120347,Male,19-30,Studying/working late,Gangster
317,120348,Male,31-45,Sports/exercise,Cola-Coka
318,120349,Male,19-30,Studying/working late,Blue Bull
319,120350,Male,19-30,Studying/working late,Blue Bull
320,120351,Female,19-30,Social outings/parties,Others
321,120352,Female,19-30,Studying/working late,Bepsi
322,120353,Male,15-18,Studying/working late,Gangster
323,120354,Male,19-30,Social outings/parties,Bepsi
324,120355,Female,31-45,Studying/working late,CodeX
325,120356,Female,19-30,Social outings/parties,Gangster
326,120357,Female,19-30,Studying/working late,Bepsi
327,120358,Female,19-30,Studying/working late,Bepsi
328,120359,Male,31-45,Studying/working late,Cola-Coka
329,120360,Male,15-18,Sports/exercise,Cola-Coka
330,120361,Male,15-18,Studying/working late,CodeX
331,120362,Non-binary,19-30,Studying/working late,Sky 9
332,120363,Female,19-30,Studying/working late,Bepsi
333,120364,Female,19-30,Other,Bepsi
334,120365,Male,19-30,Sports/exercise,Gangster
335,120366,Male,19-30,Studying/working late,Bepsi
336,120367,Non-binary,19-30,Sports/exercise,Cola-Coka
337,120368,Male,19-30,Social outings/parties,Cola-Coka
338,120369,Male,19-30,Social outings/parties,Cola-Coka
339,120370,Male,15-18,Studying/working late,Cola-Coka
340,120371,Female,46-65,Social outings/parties,Cola-Coka
341,120372,Male,19-30,Sports/exercise,Cola-Coka
342,120373,Male,15-18,Sports/exercise,Gangster
343,120374,Female,15-18,Sports/exercise,Sky 9
344,120375,Male,19-30,Sports/exercise,Gangster
345,120376,Male,31-45,Social outings/parties,Cola-Coka
346,120377,Male,15-18,Sports/exercise,Sky 9
347,120378,Male,19-30,Sports/exercise,Cola-Coka
348,120379,Female,19-30,Studying/working late,Gangster
349,120380,Male,19-30,Studying/working late,Cola-Coka
350,120381,Female,15-18,Sports/exercise,Sky 9
351,120382,Male,31-45,Sports/exercise,Bepsi
352,120383,Non-binary,19-30,Sports/exercise,Gangster
353,120384,Male,31-45,Studying/working late,Bepsi
354,120385,Female,65+,Studying/working late,Gangster
355,120386,Male,15-18,Studying/working late,Cola-Coka
356,120387,Female,15-18,Social outings/parties,Blue Bull
357,120388,Male,31-45,Studying/working late,Gangster
358,120389,Female,15-18,Sports/exercise,CodeX
359,120390,Male,19-30,Studying/working late,Cola-Coka
360,120391,Male,31-45,Studying/working late,Bepsi
361,120392,Male,19-30,Studying/working late,Gangster
362,120393,Female,19-30,Sports/exercise,Bepsi
363,120394,Male,19-30,Social outings/parties,Bepsi
364,120395,Male,19-30,Social outings/parties,Gangster
365,120396,Female,46-65,Studying/working late,Bepsi
366,120397,Female,15-18,Sports/exercise,CodeX
367,120398,Male,31-45,Sports/exercise,Others
368,120399,Female,19-30,Sports/exercise,Bepsi
369,120400,Male,31-45,Sports/exercise,Sky 9
370,120401,Male,19-30,Studying/working late,Others
371,120402,Male,19-30,Studying/working late,Cola-Coka
372,120403,Non-binary,15-18,Sports/exercise,Gangster
373,120404,Female,31-45,Sports/exercise,Cola-Coka
374,120405,Male,19-30,Social outings/parties,Cola-Coka
375,120406,Female,19-30,Sports/exercise,Cola-Coka
376,120407,Male,19-30,Studying/working late,Gangster
377,120408,Male,19-30,Studying/working late,Cola-Coka
378,120409,Male,19-30,Studying/working late,Cola-Coka
379,120410,Female,31-45,Social outings/parties,Bepsi
380,120411,Female,19-30,Sports/exercise,Blue Bull
381,120412,Female,19-30,Sports/exercise,Gangster
382,120413,Male,19-30,Social outings/parties,Sky 9
383,120414,Male,15-18,Studying/working late,Gangster
384,120415,Male,19-30,Sports/exercise,Cola-Coka
385,120416,Male,15-18,Studying/working late,Bepsi
386,120417,Male,19-30,Sports/exercise,Sky 9
387,120418,Male,19-30,Sports/exercise,Bepsi
388,120419,Female,19-30,Sports/exercise,Cola-Coka
389,120420,Male,19-30,Sports/exercise,Bepsi
390,120421,Male,31-45,Sports/exercise,Cola-Coka
391,120422,Female,19-30,Other,CodeX
392,120423,Female,19-30,Studying/working late,Bepsi
393,120424,Male,31-45,Studying/working late,CodeX
394,120425,Female,19-30,Studying/working late,Blue Bull
395,120426,Female,31-45,Sports/exercise,Bepsi
396,120427,Female,46-65,Sports/exercise,CodeX
397,120428,Male,15-18,Sports/exercise,Bepsi
398,120429,Male,31-45,Studying/working late,Gangster
399,120430,Female,31-45,Sports/exercise,Bepsi
400,120431,Male,31-45,Sports/exercise,Gangster
401,120432,Female,19-30,Social outings/parties,Cola-Coka
402,120433,Male,19-30,Sports/exercise,Bepsi
403,120434,Male,31-45,Sports/exercise,Cola-Coka
404,120435,Female,31-45,Studying/working late,Gangster
405,120436,Male,46-65,Sports/exercise,Blue Bull
406,120437,Male,19-30,Sports/exercise,Blue Bull
407,120438,Male,15-18,Sports/exercise,Cola-Coka
408,120439,Male,19-30,Social outings/parties,Gangster
409,120440,Male,15-18,Sports/exercise,Gangster
410,120441,Female,19-30,Studying/working late,Sky 9
411,120442,Female,65+,Studying/working late,Bepsi
412,120443,Male,46-65,Studying/working late,Bepsi
413,120444,Male,19-30,Social outings/parties,Cola-Coka
414,120445,Male,19-30,Studying/working late,Blue Bull
415,120446,Male,19-30,Studying/working late,Cola-Coka
416,120447,Female,31-45,Studying/working late,CodeX
417,120448,Male,19-30,Sports/exercise,Others
418,120449,Female,19-30,Sports/exercise,Bepsi
419,120450,Female,31-45,Sports/exercise,Bepsi
420,120451,Male,19-30,Studying/working late,Cola-Coka
421,120452,Male,31-45,Studying/working late,Cola-Coka
422,120453,Female,19-30,Studying/working late,Gangster
423,120454,Male,19-30,Studying/working late,Bepsi
424,120455,Female,31-45,Sports/exercise,Bepsi
425,120456,Male,19-30,Social outings/parties,Cola-Coka
426,120457,Male,19-30,Studying/working late,Blue Bull
427,120458,Female,31-45,Studying/working late,Gangster
428,120459,Male,46-65,Social outings/parties,Gangster
429,120460,Male,19-30,Sports/exercise,Cola-Coka
430,120461,Male,31-45,Studying/working late,CodeX
431,120462,Male,31-45,Sports/exercise,Cola-Coka
432,120463,Male,46-65,Other,CodeX
433,120464,Female,19-30,Social outings/parties,Cola-Coka
434,120465,Male,31-45,Driving/commuting,Sky 9
435,120466,Male,31-45,Other,Cola-Coka
436,120467,Non-binary,31-45,Studying/working late,Cola-Coka
437,120468,Male,31-45,Sports/exercise,Gangster
438,120469,Non-binary,19-30,Sports/exercise,Bepsi
439,120470,Male,19-30,Sports/exercise,Cola-Coka
440,120471,Female,31-45,Sports/exercise,CodeX
441,120472,Male,31-45,Social outings/parties,Gangster
442,120473,Female,19-30,Social outings/parties,Sky 9
443,120474,Non-binary,46-65,Sports/exercise,Others
444,120475,Male,19-30,Studying/working late,Cola-Coka
445,120476,Male,19-30,Sports/exercise,Bepsi
446,120477,Female,19-30,Studying/working late,CodeX
447,120478,Female,31-45,Sports/exercise,CodeX
448,120479,Female,19-30,Studying/working late,Gangster
449,120480,Female,31-45,Social outings/parties,Cola-Coka
450,120481,Male,19-30,Social outings/parties,Cola-Coka
451,120482,Male,15-18,Sports/exercise,Gangster
452,120483,Male,19-30,Sports/exercise,Others
453,120484,Female,19-30,Studying/working late,CodeX
454,120485,Female,19-30,Sports/exercise,Cola-Coka
455,120486,Male,19-30,Sports/exercise,Cola-Coka
456,120487,Male,15-18,Sports/exercise,CodeX
457,120488,Female,19-30,Studying/working late,Cola-Coka
458,120489,Male,31-45,Sports/exercise,Blue Bull
459,120490,Male,15-18,Sports/exercise,Gangster
460,120491,Male,15-18,Studying/working late,Gangster
461,120492,Female,31-45,Sports/exercise,CodeX
462,120493,Male,31-45,Driving/commuting,Gangster
463,120494,Female,19-30,Social outings/parties,Others
464,120495,Female,46-65,Sports/exercise,Bepsi
465,120496,Male,19-30,Sports/exercise,Blue Bull
466,120497,Male,46-65,Studying/working late,Cola-Coka
467,120498,Male,31-45,Sports/exercise,Cola-Coka
468,120499,Non-binary,65+,Studying/working late,Gangster
469,120500,Male,19-30,Sports/exercise,Others
470,120501,Female,19-30,Sports/exercise,Blue Bull
471,120502,Male,19-30,Sports/exercise,Bepsi
472,120503,Female,19-30,Studying/working late,Bepsi
473,120504,Female,31-45,Studying/working late,CodeX
474,120505,Male,15-18,Studying/working late,Gangster
475,120506,Male,19-30,Driving/commuting,Cola-Coka
476,120507,Male,65+,Studying/working late,Gangster
477,120508,Male,31-45,Social outings/parties,Cola-Coka
478,120509,Female,15-18,Sports/exercise,Gangster
479,120510,Non-binary,19-30,Sports/exercise,Bepsi
480,120511,Male,31-45,Studying/working late,Bepsi
481,120512,Male,19-30,Sports/exercise,Sky 9
482,120513,Male,46-65,Sports/exercise,Cola-Coka
483,120514,Female,19-30,Sports/exercise,Bepsi
484,120515,Male,19-30,Sports/exercise,Sky 9
485,120516,Male,15-18,Sports/exercise,Gangster
486,120517,Male,19-30,Sports/exercise,Gangster
487,120518,Male,19-30,Studying/working late,Sky 9
488,120519,Male,31-45,Studying/working late,Bepsi
489,120520,Female,19-30,Sports/exercise,CodeX
490,120521,Female,19-30,Sports/exercise,Bepsi
491,120522,Male,19-30,Sports/exercise,Sky 9
492,120523,Male,19-30,Sports/exercise,Bepsi
493,120524,Male,31-45,Sports/exercise,Gangster
494,120525,Female,15-18,Sports/exercise,Cola-Coka
495,120526,Male,19-30,Studying/working late,Gangster
496,120527,Female,19-30,Social outings/parties,Gangster
497,120528,Male,31-45,Social outings/parties,Cola-Coka
498,120529,Male,19-30,Studying/working late,Bepsi
499,120530,Male,19-30,Social outings/parties,Cola-Coka
500,120531,Female,19-30,Studying/working late,Cola-Coka
501,120532,Male,19-30,Sports/exercise,Bepsi
502,120533,Male,19-30,Studying/working late,Bepsi
503,120534,Male,19-30,Studying/working late,Gangster
504,120535,Male,31-45,Studying/working late,Others
505,120536,Non-binary,31-45,Social outings/parties,Bepsi
506,120537,Female,31-45,Studying/working late,Bepsi
507,120538,Male,31-45,Studying/working late,Sky 9
508,120539,Non-binary,65+,Sports/exercise,Blue Bull
509,120540,Female,19-30,Other,Bepsi
510,120541,Male,19-30,Sports/exercise,Bepsi
511,120542,Female,15-18,Sports/exercise,CodeX
512,120543,Female,15-18,Social outings/parties,Blue Bull
513,120544,Female,31-45,Sports/exercise,Others
514,120545,Female,19-30,Sports/exercise,Cola-Coka
515,120546,Male,19-30,Sports/exercise,Others
516,120547,Non-binary,19-30,Social outings/parties,Cola-Coka
517,120548,Female,46-65,Studying/working late,Blue Bull
518,120549,Male,19-30,Social outings/parties,Bepsi
519,120550,Female,19-30,Sports/exercise,Bepsi
520,120551,Non-binary,15-18,Studying/working late,Gangster
521,120552,Male,31-45,Social outings/parties,Blue Bull
522,120553,Male,19-30,Studying/working late,CodeX
523,120554,Female,15-18,Social outings/parties,Blue Bull
524,120555,Female,19-30,Studying/working late,CodeX
525,120556,Male,31-45,Sports/exercise,Blue Bull
526,120557,Male,19-30,Studying/working late,Bepsi
527,120558,Male,19-30,Social outings/parties,Sky 9
528,120559,Female,31-45,Sports/exercise,Bepsi
529,120560,Male,31-45,Social outings/parties,Cola-Coka
530,120561,Male,31-45,Studying/working late,Bepsi
531,120562,Male,31-45,Sports/exercise,Sky 9
532,120563,Female,19-30,Social outings/parties,Cola-Coka
533,120564,Non-binary,19-30,Studying/working late,Bepsi
534,120565,Female,15-18,Sports/exercise,Cola-Coka
535,120566,Male,19-30,Studying/working late,Bepsi
536,120567,Male,19-30,Sports/exercise,Gangster
