,Unnamed: 0,Respondent_ID,Gender,Age,Reasons_for_choosing_brands,Current_brands
67,67,120098,Male,19-30,Brand reputation,Blue Bull
68,68,120099,Non-binary,15-18,Brand reputation,Blue Bull
69,69,120100,Male,19-30,Availability,Gangster
70,70,120101,Male,31-45,Effectiveness,CodeX
71,71,120102,Male,19-30,Other,Blue Bull
72,72,120103,Female,19-30,Effectiveness,Gangster
73,73,120104,Male,19-30,Other,Blue Bull
74,74,120105,Male,19-30,Effectiveness,Cola-Coka
75,75,120106,Female,31-45,Taste/flavor preference,CodeX
76,76,120107,Male,19-30,Other,Cola-Coka
77,77,120108,Male,19-30,Availability,Sky 9
78,78,120109,Male,19-30,Taste/flavor preference,Blue Bull
79,79,120110,Female,65+,Effectiveness,Sky 9
80,80,120111,Female,31-45,Effectiveness,Gangster
81,81,120112,Male,15-18,Brand reputation,Others
82,82,120113,Male,19-30,Effectiveness,Bepsi
83,83,120114,Male,19-30,Effectiveness,Gangster
84,84,120115,Male,31-45,Availability,Bepsi
85,85,120116,Male,15-18,Taste/flavor preference,Bepsi
86,86,120117,Male,31-45,Taste/flavor preference,CodeX
87,87,120118,Male,19-30,Availability,Cola-Coka
88,88,120119,Male,15-18,Brand reputation,Blue Bull
89,89,120120,Female,19-30,Brand reputation,Others
90,90,120121,Female,19-30,Effectiveness,CodeX
91,91,120122,Female,19-30,Taste/flavor preference,Blue Bull
92,92,120123,Male,19-30,Taste/flavor preference,Gangster
93,93,120124,Male,19-30,Availability,Blue Bull
94,94,120125,Male,31-45,Brand reputation,CodeX
95,95,120126,Male,19-30,Taste/flavor preference,Blue Bull
96,96,120127,Male,19-30,Taste/flavor preference,Cola-Coka
97,97,120128,Male,31-45,Effectiveness,Cola-Coka
98,98,120129,Male,31-45,Brand reputation,Blue Bull
99,99,120130,Female,19-30,Taste/flavor preference,Bepsi
100,100,120131,Male,19-30,Brand reputation,Cola-Coka
101,101,120132,Female,19-30,Brand reputation,Bepsi
102,102,120133,Male,19-30,Taste/flavor preference,Blue Bull
103,103,120134,Male,46-65,Availability,Gangster
104,104,120135,Male,19-30,Other,Cola-Coka
105,105,120136,Male,15-18,Availability,Cola-Coka
106,106,120137,Female,19-30,Effectiveness,Blue Bull
107,107,120138,Male,46-65,Brand reputation,Cola-Coka
108,108,120139,Female,31-45,Brand reputation,Cola-Coka
109,109,120140,Non-binary,46-65,Effectiveness,Cola-Coka
110,110,120141,Male,19-30,Availability,CodeX
111,111,120142,Male,19-30,Taste/flavor preference,Gangster
112,112,120143,Male,31-45,Availability,Cola-Coka
113,113,120144,Female,19-30,Taste/flavor preference,Gangster
114,114,120145,Male,19-30,Other,Blue Bull
115,115,120146,Male,31-45,Brand reputation,Cola-Coka
116,116,120147,Male,15-18,Availability,Blue Bull
117,117,120148,Female,15-18,Taste/flavor preference,Cola-Coka
118,118,120149,Male,19-30,Taste/flavor preference,Cola-Coka
119,119,120150,Female,15-18,Other,Others
120,120,120151,Male,15-18,Brand reputation,Sky 9
121,121,120152,Male,31-45,Availability,Cola-Coka
122,122,120153,Male,31-45,Availability,Bepsi
123,123,120154,Female,19-30,Effectiveness,Bepsi
124,124,120155,Male,31-45,Brand reputation,Blue Bull
125,125,120156,Female,31-45,Effectiveness,Bepsi
126,126,120157,Female,31-45,Taste/flavor preference,Others
127,127,120158,Male,15-18,Brand reputation,Sky 9
128,128,120159,Male,19-30,Availability,Bepsi
129,129,120160,Male,19-30,Effectiveness,Gangster
130,130,120161,Male,19-30,Other,Gangster
131,131,120162,Non-binary,65+,Brand reputation,Gangster
132,132,120163,Female,31-45,Taste/flavor preference,Cola-Coka
133,133,120164,Female,19-30,Availability,Blue Bull
134,134,120165,Male,19-30,Availability,Gangster
135,135,120166,Non-binary,15-18,Taste/flavor preference,Cola-Coka
136,136,120167,Female,31-45,Availability,Blue Bull
137,137,120168,Male,19-30,Availability,Gangster
138,138,120169,Male,19-30,Availability,Cola-Coka
139,139,120170,Female,19-30,Taste/flavor preference,Others
140,140,120171,Female,31-45,Brand reputation,Blue Bull
141,141,120172,Male,31-45,Brand reputation,CodeX
142,142,120173,Male,15-18,Brand reputation,CodeX
143,143,120174,Male,19-30,Availability,CodeX
144,144,120175,Male,19-30,Brand reputation,Cola-Coka
145,145,120176,Male,31-45,Taste/flavor preference,Cola-Coka
146,146,120177,Female,19-30,Brand reputation,Blue Bull
147,147,120178,Male,46-65,Availability,CodeX
148,148,120179,Male,19-30,Availability,Others
149,149,120180,Female,15-18,Other,Cola-Coka
150,150,120181,Male,31-45,Effectiveness,Cola-Coka
151,151,120182,Male,15-18,Taste/flavor preference,Cola-Coka
152,152,120183,Male,15-18,Availability,Cola-Coka
153,153,120184,Male,19-30,Effectiveness,CodeX
154,154,120185,Male,19-30,Effectiveness,CodeX
155,155,120186,Male,19-30,Brand reputation,Others
156,156,120187,Male,15-18,Taste/flavor preference,Gangster
157,157,120188,Male,46-65,Taste/flavor preference,Bepsi
158,158,120189,Male,19-30,Availability,Gangster
159,159,120190,Male,31-45,Taste/flavor preference,Blue Bull
160,160,120191,Female,31-45,Effectiveness,Blue Bull
161,161,120192,Male,19-30,Brand reputation,Bepsi
162,162,120193,Male,19-30,Taste/flavor preference,Bepsi
163,163,120194,Female,19-30,Taste/flavor preference,Blue Bull
164,164,120195,Non-binary,19-30,Taste/flavor preference,Bepsi
165,165,120196,Female,19-30,Other,Blue Bull
166,166,120197,Non-binary,19-30,Effectiveness,Gangster
167,167,120198,Male,19-30,Taste/flavor preference,Blue Bull
168,168,120199,Male,46-65,Effectiveness,Sky 9
169,169,120200,Male,19-30,Taste/flavor preference,Bepsi
170,170,120201,Male,19-30,Availability,Sky 9
171,171,120202,Female,19-30,Availability,Cola-Coka
172,172,120203,Male,19-30,Availability,Bepsi
173,173,120204,Female,19-30,Taste/flavor preference,Bepsi
174,174,120205,Male,19-30,Availability,CodeX
175,175,120206,Female,19-30,Effectiveness,Bepsi
176,176,120207,Female,19-30,Taste/flavor preference,Sky 9
177,177,120208,Male,19-30,Availability,Bepsi
178,178,120209,Male,15-18,Taste/flavor preference,Gangster
179,179,120210,Female,19-30,Brand reputation,Bepsi
180,180,120211,Male,15-18,Brand reputation,Cola-Coka
181,181,120212,Male,31-45,Other,Cola-Coka
182,182,120213,Female,31-45,Other,Blue Bull
183,183,120214,Female,19-30,Taste/flavor preference,Cola-Coka
184,184,120215,Non-binary,19-30,Brand reputation,Gangster
185,185,120216,Female,19-30,Brand reputation,Sky 9
186,186,120217,Female,31-45,Effectiveness,Cola-Coka
187,187,120218,Male,46-65,Other,Gangster
188,188,120219,Female,19-30,Taste/flavor preference,Bepsi
189,189,120220,Male,19-30,Availability,Cola-Coka
190,190,120221,Male,19-30,Brand reputation,Sky 9
191,191,120222,Non-binary,15-18,Brand reputation,Bepsi
192,192,120223,Female,31-45,Other,Gangster
193,193,120224,Male,31-45,Taste/flavor preference,CodeX
194,194,120225,Non-binary,46-65,Taste/flavor preference,Bepsi
195,195,120226,Male,19-30,Other,Blue Bull
196,196,120227,Female,19-30,Effectiveness,Gangster
197,197,120228,Male,15-18,Availability,Gangster
198,198,120229,Female,19-30,Brand reputation,Cola-Coka
199,199,120230,Female,19-30,Brand reputation,Bepsi
200,200,120231,Non-binary,15-18,Brand reputation,Bepsi
201,201,120232,Male,19-30,Taste/flavor preference,Blue Bull
202,202,120233,Male,31-45,Taste/flavor preference,Blue Bull
203,203,120234,Male,19-30,Brand reputation,Blue Bull
204,204,120235,Male,19-30,Brand reputation,Bepsi
205,205,120236,Female,31-45,Brand reputation,Sky 9
206,206,120237,Male,31-45,Availability,Bepsi
207,207,120238,Non-binary,46-65,Effectiveness,Cola-Coka
208,208,120239,Female,19-30,Other,Gangster
209,209,120240,Female,19-30,Other,Bepsi
210,210,120241,Male,15-18,Brand reputation,Bepsi
211,211,120242,Female,15-18,Brand reputation,Sky 9
212,212,120243,Male,46-65,Brand reputation,Gangster
213,213,120244,Male,19-30,Availability,Sky 9
214,214,120245,Male,19-30,Brand reputation,Bepsi
215,215,120246,Male,31-45,Availability,Cola-Coka
216,216,120247,Female,15-18,Brand reputation,Bepsi
217,217,120248,Male,15-18,Brand reputation,Sky 9
218,218,120249,Male,19-30,Brand reputation,Sky 9
219,219,120250,Male,31-45,Availability,Blue Bull
220,220,120251,Male,31-45,Availability,Cola-Coka
221,221,120252,Male,19-30,Taste/flavor preference,Cola-Coka
222,222,120253,Male,19-30,Brand reputation,Gangster
223,223,120254,Male,19-30,Availability,Blue Bull
224,224,120255,Female,15-18,Brand reputation,Cola-Coka
225,225,120256,Male,19-30,Availability,Cola-Coka
226,226,120257,Female,46-65,Taste/flavor preference,Gangster
227,227,120258,Male,19-30,Brand reputation,Bepsi
228,228,120259,Male,19-30,Taste/flavor preference,CodeX
229,229,120260,Male,31-45,Availability,CodeX
230,230,120261,Female,46-65,Other,Gangster
231,231,120262,Male,19-30,Taste/flavor preference,Cola-Coka
232,232,120263,Male,31-45,Other,Bepsi
233,233,120264,Male,19-30,Availability,Cola-Coka
234,234,120265,Male,19-30,Other,Gangster
235,235,120266,Non-binary,19-30,Taste/flavor preference,Sky 9
236,236,120267,Female,19-30,Taste/flavor preference,Bepsi
237,237,120268,Non-binary,31-45,Other,Cola-Coka
238,238,120269,Male,19-30,Taste/flavor preference,Gangster
239,239,120270,Non-binary,19-30,Effectiveness,Cola-Coka
240,240,120271,Non-binary,15-18,Effectiveness,Cola-Coka
241,241,120272,Female,19-30,Effectiveness,Gangster
242,242,120273,Male,19-30,Brand reputation,Cola-Coka
243,243,120274,Female,31-45,Brand reputation,Cola-Coka
244,244,120275,Male,15-18,Brand reputation,Gangster
245,245,120276,Female,15-18,Taste/flavor preference,Sky 9
246,246,120277,Female,15-18,Brand reputation,Bepsi
247,247,120278,Female,19-30,Taste/flavor preference,Cola-Coka
248,248,120279,Female,31-45,Effectiveness,Blue Bull
249,249,120280,Female,19-30,Availability,Cola-Coka
250,250,120281,Female,15-18,Effectiveness,Others
251,251,120282,Female,19-30,Effectiveness,Blue Bull
252,252,120283,Female,31-45,Effectiveness,Sky 9
253,253,120284,Female,19-30,Effectiveness,Cola-Coka
254,254,120285,Male,19-30,Taste/flavor preference,Bepsi
255,255,120286,Male,31-45,Brand reputation,Gangster
256,256,120287,Male,19-30,Brand reputation,Bepsi
257,257,120288,Male,19-30,Brand reputation,Gangster
258,258,120289,Male,31-45,Other,Bepsi
259,259,120290,Male,31-45,Availability,Bepsi
260,260,120291,Male,19-30,Effectiveness,Sky 9
261,261,120292,Male,31-45,Effectiveness,Bepsi
262,262,120293,Male,19-30,Taste/flavor preference,Gangster
263,263,120294,Female,31-45,Other,Blue Bull
264,264,120295,Female,31-45,Brand reputation,Sky 9
265,265,120296,Non-binary,19-30,Brand reputation,Gangster
266,266,120297,Non-binary,19-30,Other,Others
267,267,120298,Female,19-30,Other,Sky 9
268,268,120299,Male,19-30,Other,Cola-Coka
269,269,120300,Female,31-45,Brand reputation,CodeX
270,270,120301,Non-binary,15-18,Effectiveness,Cola-Coka
271,271,120302,Male,19-30,Availability,CodeX
272,272,120303,Male,15-18,Effectiveness,Cola-Coka
273,273,120304,Female,15-18,Other,Bepsi
274,274,120305,Male,19-30,Effectiveness,Sky 9
275,275,120306,Female,31-45,Taste/flavor preference,Bepsi
276,276,120307,Male,19-30,Other,CodeX
277,277,120308,Non-binary,19-30,Brand reputation,Sky 9
278,278,120309,Male,19-30,Brand reputation,CodeX
279,279,120310,Male,15-18,Availability,Gangster
280,280,120311,Male,19-30,Taste/flavor preference,Gangster
281,281,120312,Male,19-30,Other,Gangster
282,282,120313,Male,46-65,Availability,Sky 9
283,283,120314,Female,19-30,Effectiveness,Sky 9
284,284,120315,Male,31-45,Taste/flavor preference,Bepsi
285,285,120316,Male,19-30,Other,Blue Bull
286,286,120317,Non-binary,19-30,Effectiveness,Cola-Coka
287,287,120318,Female,19-30,Availability,Sky 9
288,288,120319,Male,19-30,Effectiveness,Blue Bull
289,289,120320,Male,19-30,Brand reputation,Gangster
290,290,120321,Female,31-45,Effectiveness,Cola-Coka
291,291,120322,Female,31-45,Taste/flavor preference,Gangster
292,292,120323,Male,19-30,Brand reputation,Cola-Coka
293,293,120324,Male,19-30,Availability,Bepsi
294,294,120325,Male,19-30,Effectiveness,Bepsi
295,295,120326,Male,19-30,Brand reputation,Bepsi
296,296,120327,Male,19-30,Brand reputation,Cola-Coka
297,297,120328,Male,19-30,Effectiveness,Cola-Coka
298,298,120329,Male,19-30,Availability,Others
299,299,120330,Female,31-45,Brand reputation,Bepsi
300,300,120331,Male,19-30,Taste/flavor preference,Gangster
301,301,120332,Female,15-18,Effectiveness,Cola-Coka
302,302,120333,Female,31-45,Taste/flavor preference,Gangster
303,303,120334,Female,19-30,Effectiveness,Cola-Coka
304,304,120335,Female,19-30,Other,Cola-Coka
305,305,120336,Male,15-18,Taste/flavor preference,Bepsi
306,306,120337,Male,15-18,Availability,Cola-Coka
307,307,120338,Male,31-45,Brand reputation,Others
308,308,120339,Male,19-30,Brand reputation,Sky 9
309,309,120340,Female,19-30,Taste/flavor preference,Cola-Coka
310,310,120341,Male,19-30,Taste/flavor preference,Blue Bull
311,311,120342,Male,31-45,Brand reputation,Blue Bull
312,312,120343,Female,19-30,Availability,Bepsi
313,313,120344,Male,15-18,Availability,Sky 9
314,314,120345,Female,19-30,Brand reputation,Others
315,315,120346,Male,19-30,Availability,Cola-Coka
316,316,120347,Male,19-30,Availability,Gangster
317,317,120348,Male,31-45,Effectiveness,Cola-Coka
318,318,120349,Male,19-30,Availability,Blue Bull
319,319,120350,Male,19-30,Availability,Blue Bull
320,320,120351,Female,19-30,Effectiveness,Others
321,321,120352,Female,19-30,Brand reputation,Bepsi
322,322,120353,Male,15-18,Other,Gangster
323,323,120354,Male,19-30,Brand reputation,Bepsi
324,324,120355,Female,31-45,Effectiveness,CodeX
325,325,120356,Female,19-30,Effectiveness,Gangster
326,326,120357,Female,19-30,Effectiveness,Bepsi
327,327,120358,Female,19-30,Brand reputation,Bepsi
328,328,120359,Male,31-45,Other,Cola-Coka
329,329,120360,Male,15-18,Brand reputation,Cola-Coka
330,330,120361,Male,15-18,Availability,CodeX
331,331,120362,Non-binary,19-30,Taste/flavor preference,Sky 9
332,332,120363,Female,19-30,Taste/flavor preference,Bepsi
333,333,120364,Female,19-30,Effectiveness,Bepsi
334,334,120365,Male,19-30,Availability,Gangster
335,335,120366,Male,19-30,Availability,Bepsi
336,336,120367,Non-binary,19-30,Effectiveness,Cola-Coka
337,337,120368,Male,19-30,Taste/flavor preference,Cola-Coka
338,338,120369,Male,19-30,Availability,Cola-Coka
339,339,120370,Male,15-18,Effectiveness,Cola-Coka
340,340,120371,Female,46-65,Other,Cola-Coka
341,341,120372,Male,19-30,Brand reputation,Cola-Coka
342,342,120373,Male,15-18,Availability,Gangster
343,343,120374,Female,15-18,Effectiveness,Sky 9
344,344,120375,Male,19-30,Taste/flavor preference,Gangster
345,345,120376,Male,31-45,Brand reputation,Cola-Coka
346,346,120377,Male,15-18,Availability,Sky 9
347,347,120378,Male,19-30,Taste/flavor preference,Cola-Coka
348,348,120379,Female,19-30,Taste/flavor preference,Gangster
349,349,120380,Male,19-30,Effectiveness,Cola-Coka
350,350,120381,Female,15-18,Availability,Sky 9
351,351,120382,Male,31-45,Effectiveness,Bepsi
352,352,120383,Non-binary,19-30,Effectiveness,Gangster
353,353,120384,Male,31-45,Other,Bepsi
354,354,120385,Female,65+,Taste/flavor preference,Gangster
355,355,120386,Male,15-18,Brand reputation,Cola-Coka
356,356,120387,Female,15-18,Brand reputation,Blue Bull
357,357,120388,Male,31-45,Taste/flavor preference,Gangster
358,358,120389,Female,15-18,Other,CodeX
359,359,120390,Male,19-30,Brand reputation,Cola-Coka
360,360,120391,Male,31-45,Availability,Bepsi
361,361,120392,Male,19-30,Effectiveness,Gangster
362,362,120393,Female,19-30,Brand reputation,Bepsi
363,363,120394,Male,19-30,Effectiveness,Bepsi
364,364,120395,Male,19-30,Taste/flavor preference,Gangster
365,365,120396,Female,46-65,Availability,Bepsi
366,366,120397,Female,15-18,Availability,CodeX
367,367,120398,Male,31-45,Effectiveness,Others
368,368,120399,Female,19-30,Effectiveness,Bepsi
369,369,120400,Male,31-45,Effectiveness,Sky 9
370,370,120401,Male,19-30,Availability,Others
371,371,120402,Male,19-30,Availability,Cola-Coka
372,372,120403,Non-binary,15-18,Taste/flavor preference,Gangster
373,373,120404,Female,31-45,Other,Cola-Coka
374,374,120405,Male,19-30,Brand reputation,Cola-Coka
375,375,120406,Female,19-30,Taste/flavor preference,Cola-Coka
376,376,120407,Male,19-30,Availability,Gangster
377,377,120408,Male,19-30,Other,Cola-Coka
378,378,120409,Male,19-30,Other,Cola-Coka
379,379,120410,Female,31-45,Other,Bepsi
380,380,120411,Female,19-30,Brand reputation,Blue Bull
381,381,120412,Female,19-30,Effectiveness,Gangster
382,382,120413,Male,19-30,Effectiveness,Sky 9
383,383,120414,Male,15-18,Brand reputation,Gangster
384,384,120415,Male,19-30,Taste/flavor preference,Cola-Coka
385,385,120416,Male,15-18,Brand reputation,Bepsi
386,386,120417,Male,19-30,Effectiveness,Sky 9
387,387,120418,Male,19-30,Other,Bepsi
388,388,120419,Female,19-30,Other,Cola-Coka
389,389,120420,Male,19-30,Taste/flavor preference,Bepsi
390,390,120421,Male,31-45,Effectiveness,Cola-Coka
391,391,120422,Female,19-30,Brand reputation,CodeX
392,392,120423,Female,19-30,Other,Bepsi
393,393,120424,Male,31-45,Brand reputation,CodeX
394,394,120425,Female,19-30,Other,Blue Bull
395,395,120426,Female,31-45,Taste/flavor preference,Bepsi
396,396,120427,Female,46-65,Effectiveness,CodeX
397,397,120428,Male,15-18,Brand reputation,Bepsi
398,398,120429,Male,31-45,Brand reputation,Gangster
399,399,120430,Female,31-45,Effectiveness,Bepsi
400,400,120431,Male,31-45,Other,Gangster
401,401,120432,Female,19-30,Other,Cola-Coka
402,402,120433,Male,19-30,Effectiveness,Bepsi
403,403,120434,Male,31-45,Taste/flavor preference,Cola-Coka
404,404,120435,Female,31-45,Other,Gangster
405,405,120436,Male,46-65,Effectiveness,Blue Bull
406,406,120437,Male,19-30,Taste/flavor preference,Blue Bull
407,407,120438,Male,15-18,Taste/flavor preference,Cola-Coka
408,408,120439,Male,19-30,Taste/flavor preference,Gangster
409,409,120440,Male,15-18,Brand reputation,Gangster
410,410,120441,Female,19-30,Effectiveness,Sky 9
411,411,120442,Female,65+,Other,Bepsi
412,412,120443,Male,46-65,Availability,Bepsi
413,413,120444,Male,19-30,Other,Cola-Coka
414,414,120445,Male,19-30,Brand reputation,Blue Bull
415,415,120446,Male,19-30,Availability,Cola-Coka
416,416,120447,Female,31-45,Other,CodeX
417,417,120448,Male,19-30,Brand reputation,Others
418,418,120449,Female,19-30,Availability,Bepsi
419,419,120450,Female,31-45,Taste/flavor preference,Bepsi
420,420,120451,Male,19-30,Availability,Cola-Coka
421,421,120452,Male,31-45,Availability,Cola-Coka
422,422,120453,Female,19-30,Taste/flavor preference,Gangster
423,423,120454,Male,19-30,Other,Bepsi
424,424,120455,Female,31-45,Other,Bepsi
425,425,120456,Male,19-30,Brand reputation,Cola-Coka
426,426,120457,Male,19-30,Other,Blue Bull
427,427,120458,Female,31-45,Effectiveness,Gangster
428,428,120459,Male,46-65,Availability,Gangster
429,429,120460,Male,19-30,Effectiveness,Cola-Coka
430,430,120461,Male,31-45,Other,CodeX
431,431,120462,Male,31-45,Effectiveness,Cola-Coka
432,432,120463,Male,46-65,Taste/flavor preference,CodeX
433,433,120464,Female,19-30,Brand reputation,Cola-Coka
434,434,120465,Male,31-45,Taste/flavor preference,Sky 9
435,435,120466,Male,31-45,Brand reputation,Cola-Coka
436,436,120467,Non-binary,31-45,Effectiveness,Cola-Coka
437,437,120468,Male,31-45,Other,Gangster
438,438,120469,Non-binary,19-30,Availability,Bepsi
439,439,120470,Male,19-30,Availability,Cola-Coka
440,440,120471,Female,31-45,Effectiveness,CodeX
441,441,120472,Male,31-45,Availability,Gangster
442,442,120473,Female,19-30,Other,Sky 9
443,443,120474,Non-binary,46-65,Other,Others
444,444,120475,Male,19-30,Effectiveness,Cola-Coka
445,445,120476,Male,19-30,Availability,Bepsi
446,446,120477,Female,19-30,Taste/flavor preference,CodeX
447,447,120478,Female,31-45,Taste/flavor preference,CodeX
448,448,120479,Female,19-30,Other,Gangster
449,449,120480,Female,31-45,Other,Cola-Coka
450,450,120481,Male,19-30,Availability,Cola-Coka
451,451,120482,Male,15-18,Brand reputation,Gangster
452,452,120483,Male,19-30,Taste/flavor preference,Others
453,453,120484,Female,19-30,Availability,CodeX
454,454,120485,Female,19-30,Brand reputation,Cola-Coka
455,455,120486,Male,19-30,Other,Cola-Coka
456,456,120487,Male,15-18,Taste/flavor preference,CodeX
457,457,120488,Female,19-30,Other,Cola-Coka
458,458,120489,Male,31-45,Effectiveness,Blue Bull
459,459,120490,Male,15-18,Brand reputation,Gangster
460,460,120491,Male,15-18,Other,Gangster
461,461,120492,Female,31-45,Other,CodeX
462,462,120493,Male,31-45,Availability,Gangster
463,463,120494,Female,19-30,Effectiveness,Others
464,464,120495,Female,46-65,Brand reputation,Bepsi
465,465,120496,Male,19-30,Other,Blue Bull
466,466,120497,Male,46-65,Availability,Cola-Coka
467,467,120498,Male,31-45,Availability,Cola-Coka
468,468,120499,Non-binary,65+,Brand reputation,Gangster
469,469,120500,Male,19-30,Other,Others
470,470,120501,Female,19-30,Taste/flavor preference,Blue Bull
471,471,120502,Male,19-30,Brand reputation,Bepsi
472,472,120503,Female,19-30,Brand reputation,Bepsi
473,473,120504,Female,31-45,Brand reputation,CodeX
474,474,120505,Male,15-18,Brand reputation,Gangster
475,475,120506,Male,19-30,Availability,Cola-Coka
476,476,120507,Male,65+,Other,Gangster
477,477,120508,Male,31-45,Availability,Cola-Coka
478,478,120509,Female,15-18,Other,Gangster
479,479,120510,Non-binary,19-30,Effectiveness,Bepsi
480,480,120511,Male,31-45,Availability,Bepsi
481,481,120512,Male,19-30,Taste/flavor preference,Sky 9
482,482,120513,Male,46-65,Brand reputation,Cola-Coka
483,483,120514,Female,19-30,Taste/flavor preference,Bepsi
484,484,120515,Male,19-30,Taste/flavor preference,Sky 9
485,485,120516,Male,15-18,Brand reputation,Gangster
486,486,120517,Male,19-30,Taste/flavor preference,Gangster
487,487,120518,Male,19-30,Brand reputation,Sky 9
488,488,120519,Male,31-45,Effectiveness,Bepsi
489,489,120520,Female,19-30,Taste/flavor preference,CodeX
490,490,120521,Female,19-30,Taste/flavor preference,Bepsi
491,491,120522,Male,19-30,Taste/flavor preference,Sky 9
492,492,120523,Male,19-30,Availability,Bepsi
493,493,120524,Male,31-45,Availability,Gangster
494,494,120525,Female,15-18,Effectiveness,Cola-Coka
495,495,120526,Male,19-30,Brand reputation,Gangster
496,496,120527,Female,19-30,Brand reputation,Gangster
497,497,120528,Male,31-45,Effectiveness,Cola-Coka
498,498,120529,Male,19-30,Availability,Bepsi
499,499,120530,Male,19-30,Other,Cola-Coka
500,500,120531,Female,19-30,Other,Cola-Coka
501,501,120532,Male,19-30,Other,Bepsi
502,502,120533,Male,19-30,Other,Bepsi
503,503,120534,Male,19-30,Taste/flavor preference,Gangster
504,504,120535,Male,31-45,Taste/flavor preference,Others
505,505,120536,Non-binary,31-45,Brand reputation,Bepsi
506,506,120537,Female,31-45,Taste/flavor preference,Bepsi
507,507,120538,Male,31-45,Effectiveness,Sky 9
508,508,120539,Non-binary,65+,Effectiveness,Blue Bull
509,509,120540,Female,19-30,Taste/flavor preference,Bepsi
510,510,120541,Male,19-30,Availability,Bepsi
511,511,120542,Female,15-18,Effectiveness,CodeX
512,512,120543,Female,15-18,Other,Blue Bull
513,513,120544,Female,31-45,Brand reputation,Others
514,514,120545,Female,19-30,Other,Cola-Coka
515,515,120546,Male,19-30,Availability,Others
516,516,120547,Non-binary,19-30,Effectiveness,Cola-Coka
517,517,120548,Female,46-65,Effectiveness,Blue Bull
518,518,120549,Male,19-30,Availability,Bepsi
519,519,120550,Female,19-30,Brand reputation,Bepsi
