,Unnamed: 0.1,Unnamed: 0,Respondent_ID,Gender,Age,Current_brands,Marketing_channels,Consume_frequency
76,76,76,120107,Male,19-30,Cola-Coka,Other,Rarely
77,77,77,120108,Male,19-30,Sky 9,Online ads,2-3 times a month
78,78,78,120109,Male,19-30,Blue Bull,Other,2-3 times a month
79,79,79,120110,Female,65+,Sky 9,TV commercials,2-3 times a week
80,80,80,120111,Female,31-45,Gangster,TV commercials,Rarely
81,81,81,120112,Male,15-18,Others,TV commercials,Rarely
82,82,82,120113,Male,19-30,Bepsi,Online ads,Rarely
83,83,83,120114,Male,19-30,Gangster,Online ads,Rarely
84,84,84,120115,Male,31-45,Bepsi,Other,Once a week
85,85,85,120116,Male,15-18,Bepsi,TV commercials,Daily
86,86,86,120117,Male,31-45,CodeX,Outdoor billboards,2-3 times a week
87,87,87,120118,Male,19-30,Cola-Coka,Online ads,Daily
88,88,88,120119,Male,15-18,Blue Bull,Online ads,Once a week
89,89,89,120120,Female,19-30,Others,TV commercials,2-3 times a week
90,90,90,120121,Female,19-30,CodeX,Other,Rarely
91,91,91,120122,Female,19-30,Blue Bull,Other,2-3 times a week
92,92,92,120123,Male,19-30,Gangster,Online ads,Daily
93,93,93,120124,Male,19-30,Blue Bull,Outdoor billboards,2-3 times a week
94,94,94,120125,Male,31-45,CodeX,TV commercials,Rarely
95,95,95,120126,Male,19-30,Blue Bull,TV commercials,Rarely
96,96,96,120127,Male,19-30,Cola-Coka,Online ads,2-3 times a week
97,97,97,120128,Male,31-45,Cola-Coka,Outdoor billboards,Once a week
98,98,98,120129,Male,31-45,Blue Bull,Outdoor billboards,2-3 times a week
99,99,99,120130,Female,19-30,Bepsi,Other,2-3 times a week
100,100,100,120131,Male,19-30,Cola-Coka,Online ads,Rarely
101,101,101,120132,Female,19-30,Bepsi,Online ads,2-3 times a week
102,102,102,120133,Male,19-30,Blue Bull,TV commercials,2-3 times a week
103,103,103,120134,Male,46-65,Gangster,Other,2-3 times a month
104,104,104,120135,Male,19-30,Cola-Coka,TV commercials,2-3 times a week
105,105,105,120136,Male,15-18,Cola-Coka,Online ads,Rarely
106,106,106,120137,Female,19-30,Blue Bull,Online ads,Once a week
107,107,107,120138,Male,46-65,Cola-Coka,Outdoor billboards,2-3 times a week
108,108,108,120139,Female,31-45,Cola-Coka,Online ads,2-3 times a month
109,109,109,120140,Non-binary,46-65,Cola-Coka,Online ads,2-3 times a month
110,110,110,120141,Male,19-30,CodeX,Online ads,Rarely
111,111,111,120142,Male,19-30,Gangster,TV commercials,2-3 times a week
112,112,112,120143,Male,31-45,Cola-Coka,Online ads,2-3 times a month
113,113,113,120144,Female,19-30,Gangster,Online ads,2-3 times a week
114,114,114,120145,Male,19-30,Blue Bull,TV commercials,2-3 times a week
115,115,115,120146,Male,31-45,Cola-Coka,Print media,2-3 times a week
116,116,116,120147,Male,15-18,Blue Bull,Outdoor billboards,2-3 times a week
117,117,117,120148,Female,15-18,Cola-Coka,TV commercials,2-3 times a week
118,118,118,120149,Male,19-30,Cola-Coka,Outdoor billboards,2-3 times a month
119,119,119,120150,Female,15-18,Others,Online ads,Rarely
120,120,120,120151,Male,15-18,Sky 9,Outdoor billboards,Once a week
121,121,121,120152,Male,31-45,Cola-Coka,TV commercials,Once a week
122,122,122,120153,Male,31-45,Bepsi,Online ads,2-3 times a week
123,123,123,120154,Female,19-30,Bepsi,Online ads,Rarely
124,124,124,120155,Male,31-45,Blue Bull,Outdoor billboards,Once a week
125,125,125,120156,Female,31-45,Bepsi,Online ads,2-3 times a week
126,126,126,120157,Female,31-45,Others,Other,2-3 times a week
127,127,127,120158,Male,15-18,Sky 9,Online ads,Once a week
128,128,128,120159,Male,19-30,Bepsi,Print media,Daily
129,129,129,120160,Male,19-30,Gangster,Print media,2-3 times a week
130,130,130,120161,Male,19-30,Gangster,Online ads,2-3 times a month
131,131,131,120162,Non-binary,65+,Gangster,TV commercials,Rarely
132,132,132,120163,Female,31-45,Cola-Coka,Other,2-3 times a week
133,133,133,120164,Female,19-30,Blue Bull,Outdoor billboards,Once a week
134,134,134,120165,Male,19-30,Gangster,Online ads,2-3 times a week
135,135,135,120166,Non-binary,15-18,Cola-Coka,Other,Rarely
136,136,136,120167,Female,31-45,Blue Bull,Online ads,2-3 times a month
137,137,137,120168,Male,19-30,Gangster,Online ads,Daily
138,138,138,120169,Male,19-30,Cola-Coka,Online ads,Daily
139,139,139,120170,Female,19-30,Others,Other,2-3 times a week
140,140,140,120171,Female,31-45,Blue Bull,TV commercials,2-3 times a week
141,141,141,120172,Male,31-45,CodeX,TV commercials,2-3 times a month
142,142,142,120173,Male,15-18,CodeX,TV commercials,Daily
143,143,143,120174,Male,19-30,CodeX,Print media,2-3 times a week
144,144,144,120175,Male,19-30,Cola-Coka,TV commercials,Daily
145,145,145,120176,Male,31-45,Cola-Coka,TV commercials,2-3 times a month
146,146,146,120177,Female,19-30,Blue Bull,TV commercials,Rarely
147,147,147,120178,Male,46-65,CodeX,TV commercials,2-3 times a week
148,148,148,120179,Male,19-30,Others,TV commercials,Rarely
149,149,149,120180,Female,15-18,Cola-Coka,TV commercials,2-3 times a month
150,150,150,120181,Male,31-45,Cola-Coka,TV commercials,Once a week
151,151,151,120182,Male,15-18,Cola-Coka,Online ads,2-3 times a month
152,152,152,120183,Male,15-18,Cola-Coka,Online ads,Once a week
153,153,153,120184,Male,19-30,CodeX,Outdoor billboards,2-3 times a month
154,154,154,120185,Male,19-30,CodeX,TV commercials,2-3 times a week
155,155,155,120186,Male,19-30,Others,Other,Once a week
156,156,156,120187,Male,15-18,Gangster,Online ads,Daily
157,157,157,120188,Male,46-65,Bepsi,Online ads,2-3 times a week
158,158,158,120189,Male,19-30,Gangster,Online ads,2-3 times a month
159,159,159,120190,Male,31-45,Blue Bull,Online ads,Daily
160,160,160,120191,Female,31-45,Blue Bull,Other,Rarely
161,161,161,120192,Male,19-30,Bepsi,Online ads,Once a week
162,162,162,120193,Male,19-30,Bepsi,Online ads,2-3 times a month
163,163,163,120194,Female,19-30,Blue Bull,Online ads,2-3 times a month
164,164,164,120195,Non-binary,19-30,Bepsi,Online ads,Rarely
165,165,165,120196,Female,19-30,Blue Bull,Online ads,2-3 times a week
166,166,166,120197,Non-binary,19-30,Gangster,Print media,2-3 times a week
167,167,167,120198,Male,19-30,Blue Bull,Outdoor billboards,Daily
168,168,168,120199,Male,46-65,Sky 9,Online ads,Rarely
169,169,169,120200,Male,19-30,Bepsi,Online ads,Daily
170,170,170,120201,Male,19-30,Sky 9,Online ads,Once a week
171,171,171,120202,Female,19-30,Cola-Coka,Other,2-3 times a week
172,172,172,120203,Male,19-30,Bepsi,Online ads,Rarely
173,173,173,120204,Female,19-30,Bepsi,Online ads,2-3 times a week
174,174,174,120205,Male,19-30,CodeX,TV commercials,Rarely
175,175,175,120206,Female,19-30,Bepsi,TV commercials,Rarely
176,176,176,120207,Female,19-30,Sky 9,Online ads,2-3 times a month
177,177,177,120208,Male,19-30,Bepsi,Online ads,2-3 times a month
178,178,178,120209,Male,15-18,Gangster,Online ads,2-3 times a week
179,179,179,120210,Female,19-30,Bepsi,Other,Once a week
180,180,180,120211,Male,15-18,Cola-Coka,Online ads,Rarely
181,181,181,120212,Male,31-45,Cola-Coka,TV commercials,2-3 times a week
182,182,182,120213,Female,31-45,Blue Bull,Outdoor billboards,Rarely
183,183,183,120214,Female,19-30,Cola-Coka,Online ads,Once a week
184,184,184,120215,Non-binary,19-30,Gangster,Online ads,Once a week
185,185,185,120216,Female,19-30,Sky 9,Online ads,2-3 times a week
186,186,186,120217,Female,31-45,Cola-Coka,TV commercials,Daily
187,187,187,120218,Male,46-65,Gangster,Online ads,2-3 times a week
188,188,188,120219,Female,19-30,Bepsi,Online ads,Rarely
189,189,189,120220,Male,19-30,Cola-Coka,Online ads,2-3 times a week
190,190,190,120221,Male,19-30,Sky 9,Online ads,Rarely
191,191,191,120222,Non-binary,15-18,Bepsi,TV commercials,2-3 times a week
192,192,192,120223,Female,31-45,Gangster,Other,Once a week
193,193,193,120224,Male,31-45,CodeX,TV commercials,2-3 times a week
194,194,194,120225,Non-binary,46-65,Bepsi,Outdoor billboards,2-3 times a week
195,195,195,120226,Male,19-30,Blue Bull,Online ads,Daily
196,196,196,120227,Female,19-30,Gangster,Print media,2-3 times a month
197,197,197,120228,Male,15-18,Gangster,TV commercials,2-3 times a month
198,198,198,120229,Female,19-30,Cola-Coka,Online ads,2-3 times a month
199,199,199,120230,Female,19-30,Bepsi,Outdoor billboards,2-3 times a week
200,200,200,120231,Non-binary,15-18,Bepsi,TV commercials,2-3 times a week
201,201,201,120232,Male,19-30,Blue Bull,Online ads,Rarely
202,202,202,120233,Male,31-45,Blue Bull,TV commercials,2-3 times a week
203,203,203,120234,Male,19-30,Blue Bull,Outdoor billboards,Rarely
204,204,204,120235,Male,19-30,Bepsi,Online ads,Once a week
205,205,205,120236,Female,31-45,Sky 9,Other,Once a week
206,206,206,120237,Male,31-45,Bepsi,Other,2-3 times a week
207,207,207,120238,Non-binary,46-65,Cola-Coka,Online ads,Once a week
208,208,208,120239,Female,19-30,Gangster,Other,2-3 times a month
209,209,209,120240,Female,19-30,Bepsi,Print media,2-3 times a week
210,210,210,120241,Male,15-18,Bepsi,Outdoor billboards,2-3 times a week
211,211,211,120242,Female,15-18,Sky 9,Online ads,Once a week
212,212,212,120243,Male,46-65,Gangster,TV commercials,Rarely
213,213,213,120244,Male,19-30,Sky 9,Online ads,Once a week
214,214,214,120245,Male,19-30,Bepsi,Online ads,2-3 times a month
215,215,215,120246,Male,31-45,Cola-Coka,Online ads,2-3 times a month
216,216,216,120247,Female,15-18,Bepsi,Online ads,2-3 times a month
217,217,217,120248,Male,15-18,Sky 9,Outdoor billboards,Daily
218,218,218,120249,Male,19-30,Sky 9,TV commercials,2-3 times a week
219,219,219,120250,Male,31-45,Blue Bull,Print media,Rarely
220,220,220,120251,Male,31-45,Cola-Coka,TV commercials,2-3 times a week
221,221,221,120252,Male,19-30,Cola-Coka,TV commercials,Once a week
222,222,222,120253,Male,19-30,Gangster,Outdoor billboards,2-3 times a week
223,223,223,120254,Male,19-30,Blue Bull,Online ads,2-3 times a month
224,224,224,120255,Female,15-18,Cola-Coka,Print media,2-3 times a week
225,225,225,120256,Male,19-30,Cola-Coka,Online ads,Rarely
226,226,226,120257,Female,46-65,Gangster,Online ads,Once a week
227,227,227,120258,Male,19-30,Bepsi,TV commercials,2-3 times a month
228,228,228,120259,Male,19-30,CodeX,Online ads,Daily
229,229,229,120260,Male,31-45,CodeX,Online ads,2-3 times a week
230,230,230,120261,Female,46-65,Gangster,Other,Once a week
231,231,231,120262,Male,19-30,Cola-Coka,Online ads,2-3 times a month
232,232,232,120263,Male,31-45,Bepsi,TV commercials,Once a week
233,233,233,120264,Male,19-30,Cola-Coka,Online ads,2-3 times a week
234,234,234,120265,Male,19-30,Gangster,Print media,2-3 times a month
235,235,235,120266,Non-binary,19-30,Sky 9,TV commercials,Rarely
236,236,236,120267,Female,19-30,Bepsi,TV commercials,2-3 times a month
237,237,237,120268,Non-binary,31-45,Cola-Coka,TV commercials,Daily
238,238,238,120269,Male,19-30,Gangster,TV commercials,Rarely
239,239,239,120270,Non-binary,19-30,Cola-Coka,TV commercials,Daily
240,240,240,120271,Non-binary,15-18,Cola-Coka,TV commercials,Once a week
241,241,241,120272,Female,19-30,Gangster,Online ads,Once a week
242,242,242,120273,Male,19-30,Cola-Coka,Online ads,2-3 times a month
243,243,243,120274,Female,31-45,Cola-Coka,Online ads,Daily
244,244,244,120275,Male,15-18,Gangster,Other,2-3 times a month
245,245,245,120276,Female,15-18,Sky 9,TV commercials,2-3 times a week
246,246,246,120277,Female,15-18,Bepsi,TV commercials,2-3 times a week
247,247,247,120278,Female,19-30,Cola-Coka,Online ads,Once a week
248,248,248,120279,Female,31-45,Blue Bull,Outdoor billboards,Rarely
249,249,249,120280,Female,19-30,Cola-Coka,Online ads,2-3 times a month
250,250,250,120281,Female,15-18,Others,Online ads,Rarely
251,251,251,120282,Female,19-30,Blue Bull,Online ads,Rarely
252,252,252,120283,Female,31-45,Sky 9,TV commercials,Once a week
253,253,253,120284,Female,19-30,Cola-Coka,Other,Daily
254,254,254,120285,Male,19-30,Bepsi,Online ads,2-3 times a month
255,255,255,120286,Male,31-45,Gangster,Online ads,2-3 times a week
256,256,256,120287,Male,19-30,Bepsi,Online ads,2-3 times a week
257,257,257,120288,Male,19-30,Gangster,TV commercials,Daily
258,258,258,120289,Male,31-45,Bepsi,Other,2-3 times a week
259,259,259,120290,Male,31-45,Bepsi,Online ads,2-3 times a week
260,260,260,120291,Male,19-30,Sky 9,Online ads,2-3 times a week
261,261,261,120292,Male,31-45,Bepsi,Online ads,Rarely
262,262,262,120293,Male,19-30,Gangster,TV commercials,2-3 times a month
263,263,263,120294,Female,31-45,Blue Bull,Other,Rarely
264,264,264,120295,Female,31-45,Sky 9,Other,2-3 times a week
265,265,265,120296,Non-binary,19-30,Gangster,Online ads,2-3 times a week
266,266,266,120297,Non-binary,19-30,Others,Other,Daily
267,267,267,120298,Female,19-30,Sky 9,Online ads,Daily
268,268,268,120299,Male,19-30,Cola-Coka,Online ads,2-3 times a month
269,269,269,120300,Female,31-45,CodeX,Online ads,2-3 times a week
270,270,270,120301,Non-binary,15-18,Cola-Coka,Online ads,Daily
271,271,271,120302,Male,19-30,CodeX,TV commercials,Once a week
272,272,272,120303,Male,15-18,Cola-Coka,Other,Once a week
273,273,273,120304,Female,15-18,Bepsi,Online ads,Daily
274,274,274,120305,Male,19-30,Sky 9,Outdoor billboards,2-3 times a month
275,275,275,120306,Female,31-45,Bepsi,TV commercials,2-3 times a week
276,276,276,120307,Male,19-30,CodeX,Other,2-3 times a week
277,277,277,120308,Non-binary,19-30,Sky 9,Online ads,2-3 times a week
278,278,278,120309,Male,19-30,CodeX,TV commercials,2-3 times a week
279,279,279,120310,Male,15-18,Gangster,Online ads,Rarely
280,280,280,120311,Male,19-30,Gangster,Outdoor billboards,2-3 times a week
281,281,281,120312,Male,19-30,Gangster,TV commercials,Once a week
282,282,282,120313,Male,46-65,Sky 9,TV commercials,Rarely
283,283,283,120314,Female,19-30,Sky 9,Online ads,Once a week
284,284,284,120315,Male,31-45,Bepsi,Other,2-3 times a week
285,285,285,120316,Male,19-30,Blue Bull,Other,Once a week
286,286,286,120317,Non-binary,19-30,Cola-Coka,TV commercials,2-3 times a month
287,287,287,120318,Female,19-30,Sky 9,Print media,2-3 times a month
288,288,288,120319,Male,19-30,Blue Bull,Online ads,Once a week
289,289,289,120320,Male,19-30,Gangster,Online ads,Rarely
290,290,290,120321,Female,31-45,Cola-Coka,Print media,Daily
291,291,291,120322,Female,31-45,Gangster,Other,2-3 times a month
292,292,292,120323,Male,19-30,Cola-Coka,Online ads,Once a week
293,293,293,120324,Male,19-30,Bepsi,Outdoor billboards,Daily
294,294,294,120325,Male,19-30,Bepsi,Outdoor billboards,2-3 times a week
295,295,295,120326,Male,19-30,Bepsi,Online ads,Rarely
296,296,296,120327,Male,19-30,Cola-Coka,Outdoor billboards,2-3 times a week
297,297,297,120328,Male,19-30,Cola-Coka,TV commercials,Daily
298,298,298,120329,Male,19-30,Others,Outdoor billboards,2-3 times a month
299,299,299,120330,Female,31-45,Bepsi,Print media,2-3 times a month
300,300,300,120331,Male,19-30,Gangster,TV commercials,2-3 times a week
301,301,301,120332,Female,15-18,Cola-Coka,Other,Once a week
302,302,302,120333,Female,31-45,Gangster,Outdoor billboards,2-3 times a week
303,303,303,120334,Female,19-30,Cola-Coka,Online ads,Rarely
304,304,304,120335,Female,19-30,Cola-Coka,Print media,2-3 times a week
305,305,305,120336,Male,15-18,Bepsi,TV commercials,Rarely
306,306,306,120337,Male,15-18,Cola-Coka,Online ads,2-3 times a week
307,307,307,120338,Male,31-45,Others,Outdoor billboards,2-3 times a month
308,308,308,120339,Male,19-30,Sky 9,Online ads,Daily
309,309,309,120340,Female,19-30,Cola-Coka,TV commercials,2-3 times a month
310,310,310,120341,Male,19-30,Blue Bull,TV commercials,2-3 times a week
311,311,311,120342,Male,31-45,Blue Bull,TV commercials,2-3 times a month
312,312,312,120343,Female,19-30,Bepsi,Other,2-3 times a week
313,313,313,120344,Male,15-18,Sky 9,TV commercials,Once a week
314,314,314,120345,Female,19-30,Others,TV commercials,Once a week
315,315,315,120346,Male,19-30,Cola-Coka,TV commercials,Once a week
316,316,316,120347,Male,19-30,Gangster,TV commercials,2-3 times a week
317,317,317,120348,Male,31-45,Cola-Coka,Other,Rarely
318,318,318,120349,Male,19-30,Blue Bull,Other,Once a week
319,319,319,120350,Male,19-30,Blue Bull,Online ads,Once a week
320,320,320,120351,Female,19-30,Others,Outdoor billboards,2-3 times a week
321,321,321,120352,Female,19-30,Bepsi,Outdoor billboards,2-3 times a week
322,322,322,120353,Male,15-18,Gangster,Outdoor billboards,Once a week
323,323,323,120354,Male,19-30,Bepsi,Online ads,Rarely
324,324,324,120355,Female,31-45,CodeX,TV commercials,2-3 times a month
325,325,325,120356,Female,19-30,Gangster,Online ads,Rarely
326,326,326,120357,Female,19-30,Bepsi,Other,Daily
327,327,327,120358,Female,19-30,Bepsi,Online ads,2-3 times a week
328,328,328,120359,Male,31-45,Cola-Coka,Other,2-3 times a week
329,329,329,120360,Male,15-18,Cola-Coka,Online ads,Rarely
330,330,330,120361,Male,15-18,CodeX,TV commercials,2-3 times a week
331,331,331,120362,Non-binary,19-30,Sky 9,TV commercials,2-3 times a week
332,332,332,120363,Female,19-30,Bepsi,Online ads,2-3 times a week
333,333,333,120364,Female,19-30,Bepsi,Print media,Rarely
334,334,334,120365,Male,19-30,Gangster,Online ads,Once a week
335,335,335,120366,Male,19-30,Bepsi,Online ads,Rarely
336,336,336,120367,Non-binary,19-30,Cola-Coka,Print media,2-3 times a week
337,337,337,120368,Male,19-30,Cola-Coka,TV commercials,Once a week
338,338,338,120369,Male,19-30,Cola-Coka,TV commercials,Daily
339,339,339,120370,Male,15-18,Cola-Coka,TV commercials,2-3 times a week
340,340,340,120371,Female,46-65,Cola-Coka,Other,2-3 times a week
341,341,341,120372,Male,19-30,Cola-Coka,Online ads,2-3 times a month
342,342,342,120373,Male,15-18,Gangster,Online ads,2-3 times a week
343,343,343,120374,Female,15-18,Sky 9,Online ads,2-3 times a month
344,344,344,120375,Male,19-30,Gangster,Online ads,Daily
345,345,345,120376,Male,31-45,Cola-Coka,Print media,2-3 times a week
346,346,346,120377,Male,15-18,Sky 9,Online ads,Rarely
347,347,347,120378,Male,19-30,Cola-Coka,Online ads,Daily
348,348,348,120379,Female,19-30,Gangster,Online ads,2-3 times a week
349,349,349,120380,Male,19-30,Cola-Coka,TV commercials,2-3 times a week
350,350,350,120381,Female,15-18,Sky 9,Online ads,Once a week
351,351,351,120382,Male,31-45,Bepsi,Online ads,2-3 times a week
352,352,352,120383,Non-binary,19-30,Gangster,Online ads,2-3 times a week
353,353,353,120384,Male,31-45,Bepsi,Outdoor billboards,2-3 times a week
354,354,354,120385,Female,65+,Gangster,Online ads,Daily
355,355,355,120386,Male,15-18,Cola-Coka,Online ads,2-3 times a month
356,356,356,120387,Female,15-18,Blue Bull,TV commercials,2-3 times a week
357,357,357,120388,Male,31-45,Gangster,Online ads,Daily
358,358,358,120389,Female,15-18,CodeX,Online ads,Once a week
359,359,359,120390,Male,19-30,Cola-Coka,Other,2-3 times a month
360,360,360,120391,Male,31-45,Bepsi,Other,Daily
361,361,361,120392,Male,19-30,Gangster,TV commercials,Once a week
362,362,362,120393,Female,19-30,Bepsi,Online ads,2-3 times a month
363,363,363,120394,Male,19-30,Bepsi,TV commercials,2-3 times a week
364,364,364,120395,Male,19-30,Gangster,Online ads,2-3 times a week
365,365,365,120396,Female,46-65,Bepsi,Outdoor billboards,2-3 times a week
366,366,366,120397,Female,15-18,CodeX,TV commercials,Daily
367,367,367,120398,Male,31-45,Others,Online ads,2-3 times a month
368,368,368,120399,Female,19-30,Bepsi,Other,Rarely
369,369,369,120400,Male,31-45,Sky 9,Outdoor billboards,Rarely
370,370,370,120401,Male,19-30,Others,Other,Daily
371,371,371,120402,Male,19-30,Cola-Coka,Online ads,Rarely
372,372,372,120403,Non-binary,15-18,Gangster,TV commercials,Rarely
373,373,373,120404,Female,31-45,Cola-Coka,Online ads,Rarely
374,374,374,120405,Male,19-30,Cola-Coka,Outdoor billboards,Once a week
375,375,375,120406,Female,19-30,Cola-Coka,Print media,Daily
376,376,376,120407,Male,19-30,Gangster,TV commercials,Daily
377,377,377,120408,Male,19-30,Cola-Coka,TV commercials,2-3 times a month
378,378,378,120409,Male,19-30,Cola-Coka,Other,2-3 times a week
379,379,379,120410,Female,31-45,Bepsi,Online ads,Daily
380,380,380,120411,Female,19-30,Blue Bull,Print media,2-3 times a month
381,381,381,120412,Female,19-30,Gangster,Online ads,2-3 times a week
382,382,382,120413,Male,19-30,Sky 9,TV commercials,Rarely
383,383,383,120414,Male,15-18,Gangster,Outdoor billboards,2-3 times a week
384,384,384,120415,Male,19-30,Cola-Coka,Online ads,2-3 times a week
385,385,385,120416,Male,15-18,Bepsi,Online ads,2-3 times a month
386,386,386,120417,Male,19-30,Sky 9,TV commercials,2-3 times a week
387,387,387,120418,Male,19-30,Bepsi,Online ads,Rarely
388,388,388,120419,Female,19-30,Cola-Coka,Online ads,Rarely
389,389,389,120420,Male,19-30,Bepsi,TV commercials,2-3 times a month
390,390,390,120421,Male,31-45,Cola-Coka,Outdoor billboards,2-3 times a month
391,391,391,120422,Female,19-30,CodeX,Online ads,Once a week
392,392,392,120423,Female,19-30,Bepsi,Outdoor billboards,2-3 times a month
393,393,393,120424,Male,31-45,CodeX,TV commercials,2-3 times a week
394,394,394,120425,Female,19-30,Blue Bull,Online ads,2-3 times a week
395,395,395,120426,Female,31-45,Bepsi,Online ads,Rarely
396,396,396,120427,Female,46-65,CodeX,Print media,2-3 times a week
397,397,397,120428,Male,15-18,Bepsi,Online ads,Once a week
398,398,398,120429,Male,31-45,Gangster,Online ads,Once a week
399,399,399,120430,Female,31-45,Bepsi,Other,2-3 times a week
400,400,400,120431,Male,31-45,Gangster,Print media,Daily
401,401,401,120432,Female,19-30,Cola-Coka,TV commercials,Once a week
402,402,402,120433,Male,19-30,Bepsi,Online ads,2-3 times a week
403,403,403,120434,Male,31-45,Cola-Coka,TV commercials,Daily
404,404,404,120435,Female,31-45,Gangster,Print media,Rarely
405,405,405,120436,Male,46-65,Blue Bull,Other,Daily
